Date;Type;Country;Injury
22-Oct-2008;Provoked;AUSTRALIA;Small laceration to head from captive shark
21-Oct-2008;Unprovoked;NEW CALEDONIA;Legs bitten
12-Oct-2008;Provoked;AUSTRALIA;Right leg injured by hook and hooked shark PROVOKED INCIDENT
11-Oct-2008;Unprovoked;AUSTRALIA;No injury, board damaged
08-Oct-2008;Unprovoked;USA;Lacerations
06-Oct-2008;Unprovoked;CROATIA;Calf bitten
28-Sep-2008;Unprovoked;USA;Small puncture wounds to the heel of left foot
28-Sep-2008;Unprovoked;USA;Right foot bitten
15-Sep-2008;Provoked;AUSTRALIA;Right hand lacerated by netted shark PROVOKED INCIDENT
14-Sep-2008;Unprovoked;USA;Lacerations to foot
09-Sep-2008;Unprovoked;USA;Bitten on right thigh & calf
08-Sep-2008;Unprovoked;USA;No injury to surfer, board bitten
07-Sep-2008;Unprovoked;AUSTRALIA;Shark became tangled in his surfboard leash. The surfer was not injured
06-Sep-2008;Unprovoked;USA;Minor injury to foot
06-Sep-2008;Unprovoked;USA;Minor injury to foot
01-Sep-2008;Unprovoked;USA;Shark bumped right ankle
Sep-2008;Unprovoked;USA;Right hand bitten
30-Aug-2008;Unprovoked;AUSTRALIA;No injury, bumped off board by the shark
30-Aug-2008;Invalid;USA;Death was probably due to drowning
30-Aug-2008;Provoked;ENGLAND;Wrist bitten by hooked shark PROVOKED INCIDENT
28-Aug-2008;Unprovoked;USA;Superfical cut to left ankle
27-Aug-2008;Unprovoked;USA;Lacerations to lower left leg
24-Aug-2008;Unprovoked;USA;Minor injury to left foot
24-Aug-2008;Invalid;USA;Calf bitten
20-Aug-2008;Unprovoked;USA;3 lacerations to forearm
18-Aug-2008;Invalid;USA;Minor injuries
16-Aug-2008;Unprovoked;USA;Severe lacerations to left foot
12-Aug-2008;Unprovoked;USA;Puncture wounds & 3-inch laceration to right calf
11-Aug-2008;Unprovoked;USA;No injury, shark grabbed his bag of fish
30-Jul-2008;Unprovoked;AUSTRALIA;No injury, surfboard leash severed
Reported 30-Jul-2008;Unprovoked;SOUTH AFRICA;Lacerations to fingers
27-Jul-2008;Unprovoked;PANAMA;5 lacerations to left foot
26-Jul-2008;Unprovoked;MEXICO;3 puncture wounds to toe
26-Jul-2008;Unprovoked;USA;Minor injury
25-Jul-2008;Unprovoked;USA;Right foot bitten
25-Jul-2008;Unprovoked;USA;Forearm bitten 
24-Jul-2008;Unprovoked;USA;Minor lacerations to  toe
24-Jul-2008;Unprovoked;USA;Lacerations to dorsum of right foot 
23-Jul-2008;Provoked;USA;Foot bitten after he stepped on the shark PROVOKED INCIDENT
19-Jul-2008;Unprovoked;USA;Lacerations to lower left leg
18-Jul-2008;Unprovoked;EGYPT;Leg severed
13-Jul-2008;Invalid;USA;Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.
11-Jul-2008;Unprovoked;USA;Laceration to foream
09-Jul-2008;Unprovoked;USA;Lacerations to  right foot
05-Jul-2008;Unprovoked;USA;Lacerations to right foot
Late Jul-2008;Boating;UNITED KINGDOM;Shark leapt into & damaged the dinghy but no injury to occupants
28-Jun-2008;Invalid;USA;Probable drowning with post-mortem bites
28-Jun-2008;Unprovoked;BAHAMAS;Lacerations to calf
28-Jun-2008;Unprovoked;SOUTH AFRICA;No injury, ski bitten
Reported 26-Jun-2008;Unprovoked;SOUTH AFRICA;No injury
26-Jun-2008;Unprovoked;USA;Minor laceration to foot
26-Jun-2008;Unprovoked;USA;Lacerations to hand
24-Jun-2008;Unprovoked;BRAZIL;No injury, board bitten
21-Jun-2008;Boating;USA; No injury. Shark bumped kayak, flinging her into the  water. 
20-Jun-2008;Unprovoked;USA;Lacerations to lower right calf
11-Jun-2008;Unprovoked;BRAZIL;Laceration to left leg & foot
07-Jun-2008;Unprovoked;USA;Lacerations & abrasions to right hand
Reported 02-Jun-2008;Boating;SCOTLAND;"No injury to occupants; shark struck their boat"
01-Jun-2008;Unprovoked;USA;Foot bitten
01-Jun-2008;Unprovoked;BRAZIL;Hand severed, buttocks bitten
26-May-2008;Unprovoked;USA;Biceps & lower arm bitten
24-May-2008;Sea Disaster;BAHAMAS;Boat capsized in squall. 2 bodies scavenged  by sharks
24-May-2008;Unprovoked;MEXICO;Lacerations to right forearm and hand
23-May-2008;Unprovoked;MEXICO;FATAL
14-May-2008;Unprovoked;FIJI;FATAL
10-May-2008;Unprovoked;AUSTRALIA;Severe lacerations to left leg
07-May-2008;Unprovoked;NEW CALEDONIA;Lower legs bitten
07-May-2008;Unprovoked;USA;2 inch laceration to left lower calf.
01-May-2008;Provoked;SOUTH AFRICA;Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT
28-Apr-2008;Unprovoked;MEXICO;FATAL    Severe bite to right thigh
28-Apr-2008;Unprovoked;USA;3-inch laceration to dorsal surface of left foot
27-Apr-2008;Unprovoked;USA;Calf bitten
26-Apr-2008;Unprovoked;NEW CALEDONIA;Lacerations to left foot
26-Apr-2008;Provoked;USA;Puncture wounds to right foot                  PROVOKED INCIDENT
25-Apr-2008;Unprovoked;USA;FATAL
20-Apr-2008;Unprovoked;USA;Cuts & punctures to right foot
20-Apr-2008;Unprovoked;AUSTRALIA;
Reported 19-Apr-2008;Invalid;SOUTH AFRICA;As he pushd the shark away from his camera, his finger was cut on a tooth
18-Apr-2008;Invalid;MEXICO;Probable drowning with post-mortem bites
17-Apr-2008;Invalid;AUSTRALIA;2 puncture wounds to leg
15-Apr-2008;Unprovoked;USA;Puncture wounds to right foot
Reported 09-Apr-2008;Unprovoked;FIJI;Left forearm bitten 
25-Mar-2008;Unprovoked;USA;Shin bitten
Reported 08-Apr-2008;Unprovoked;USA;Foot bitten
08-Apr-2008;Unprovoked;AUSTRALIA;FATAL
03-Apr-2008;Unprovoked;USA;Right foot & ankle bitten
28-Mar-2008;Unprovoked;SOUTH AFRICA;Right leg bitten
28-Mar-2008;Unprovoked;USA;Foot bitten
28-Mar-2008;Unprovoked;USA;Right foot bitten
23-Mar-2008;Unprovoked;USA;Three small lacerations/ punctures to right foot
21-Mar-2008;Unprovoked;USA;Two 3-inch lacerations to right ankle
15-Mar-2008;Unprovoked;USA;Minor injury
07-Mar-2008;Unprovoked;USA;No injury to surfer, surfboard bitten by the shark
24-Feb-2008;Unprovoked;BAHAMAS;Leg bitten, FATAL
Reported 21-Feb-2008;Unprovoked;FRENCH POLYNESIA;Lacerations to face
15-Feb-2008;Unprovoked;USA;Lacerations to foot
07-Feb-2008;Unprovoked;AUSTRALIA;"Abrasions to elbow; collided with shark"
06-Feb-2008;Unprovoked;USA;Lacerations to foot
2008.01.30;Provoked;JAPAN;No injury, captive shark attempted to bite diver's arm PROVOKED INCIDENTt
29-Jan-2008;Unprovoked;SOUTH AFRICA;No injury to surf-skiier, shark holed ski
27-Jan-2008;Provoked;AUSTRALIA;Laceration to left knee PROVOKED INCIDENT
Reported 19-Jan-2008;Invalid;NEW ZEALAND;Stingray envenomation, not a shark
14-Jan-2008;Boat;NEW ZEALAND;No injury to occupants, pontoon punctured
10-Jan-2008;Unprovoked;USA;Left foot bitten
Fall 2008;Provoked;USA;Minor injury to hand by hooked shark   PROVOKED INCIDENT
Summer-2008;Unprovoked;MEXICO;Leg bitten
21-Dec-2007;Unprovoked;ECUADOR;Lacerations & puncture wounds  to left thigh
19-Dec-2007;Invalid;BRITISH VIRGIN ISLANDS;Shark bites were post-mortem
18-Dec-2007;Unprovoked;AUSTRALIA;Severe lacerations to right buttock
15-Dec-2007;Unprovoked;AUSTRALIA;Lacerations to hand
14-Dec-2007;Invalid;AUSTRALIA;Lacerations to left forearm
10-Dec-2007;Unprovoked;USA;No injury, shark bit surfboard 
09-Dec-2007;Unprovoked;NEW ZEALAND;No injury, shark bit surfboard & severed leash
07-Dec-2007;Unprovoked;BRAZIL;20 cm injury to left foot
18-Nov-2007;Provoked;AUSTRALIA;Minor injury to finger by netted shark PROVOKED INCIDENT
08-Nov-2007;Unprovoked;AUSTRALIA;No injury, teethmarks in board & torn wetsuit
07-Nov-2007;Unprovoked;SOUTH AFRICA;Lacerations to feet
06-Nov-2007;Unprovoked;USA;Cut to right knee
04-Nov-2007;Unprovoked;USA;Lacerations to right leg
03-Nov-2007;Unprovoked;SOUTH AFRICA;Lacerations to thigh
November 2011;Invalid;MEXICO;White shark breached cage. No injury to occupants
29-Oct-2007;Unprovoked;USA;Lacerations to left lower leg
15-Oct-2007;Unprovoked;AUSTRALIA;small laceration to wrist
13-Oct-2007;Unprovoked;AUSTRALIA;Laceration to calf
07-Oct-2007;Unprovoked;USA;4 scratches on left hand
06-Oct-2007;Unprovoked;USA;Severe lacerations to right hand
30-Sep-2007;Unprovoked;USA;Puncture wound to foot
30-Sep-2007;Sea Disaster;PHILIPPINES;FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks
30-Sep-2007;Unprovoked;NEW CALEDONIA;FATAL
28-Sep-2007;Unprovoked;BAHAMAS;Thigh bitten
27-Sep-2007;Unprovoked;USA;No injury to surfer, surfboard bitten
27-Sep-2007;Unprovoked;EGYPT;Severe lacerations to lower left leg, ankle and foot
22-Sep-2007;Invalid;USA;Shark involvement prior to death unconfirmed
22-Sep-2007;Unprovoked;USA;Laceration to foot
20-Sep-2007;Unprovoked;USA;Small lacerations to bottom of right big toe
17-Sep-2007;Unprovoked;SOLOMON ISLANDS;Left thigh bitten
16-Sep-2007;Unprovoked;USA;Laceration to right heel
16-Sep-2007;Unprovoked;USA;No injury, surfboard bitten
13-Sep-2007;Unprovoked;USA;Minor injury, shark latched onto his abdomen
08-Sep-2007;Unprovoked;USA;Puncture wounds & 2-inch laceration to calf
05-Sep-2007;Unprovoked;USA;Laceration to right big toe
04-Sep-2007;Unprovoked;USA;Lacerations to left calf and both feet 
03-Sep-2007;Unprovoked;USA;Tiny punctures to arm
03-Sep-2007;Unprovoked;USA;"3"" laceration to left forearm"
28-Aug-2007;Unprovoked;USA;Laceration to right heel
28-Aug-2007;Unprovoked;USA;Lacerations to thigh & torso
26-Aug-2007;Unprovoked;USA;Left hand  bitten
25-Aug-2007;Unprovoked;USA; 6 lacerations to left hand
22-Aug-2007;Provoked;USA;Minor injury from captive shark PROVOKED INCIDENT
20-Aug-2007;Provoked;USA;Forearm bitten by hooked shark PROVOKED INCIDENT
19-Aug-2007;Unprovoked;USA;Torso bitten
19-Aug-2007;Unprovoked;USA;Foot bitten
19-Aug-2007;Unprovoked;USA;Right calf bitten
15-Aug-2007;Unprovoked;USA;Puncture wounds to torso
12-Aug-2007;Unprovoked;USA;Minor injury, small lacerations to right foot
11-Aug-2007;Unprovoked;USA;Minor injury, lacerations to left ankle & foot 
09-Aug-2007;Unprovoked;USA;Lacerations to right foot
09-Aug-2007;Unprovoked;USA;Lacerations to lower leg & ankle
07-Aug-2007;Unprovoked;USA;Lacerations to arm
29-Jul-2007;Unprovoked;USA;Minor injury to shoulder
28-Jul-2007;Unprovoked;USA;No injury, shark bit surfboard
22-Jul-2007;Unprovoked;USA;No injury, surfboard bumped by shark for 20 minutes
21-Jul-2007;Boating;USA;No injury, kayak bitten
19-Jul-2007.b;Unprovoked;USA;Left calf severely bitten
19-Jul-2007.a;Unprovoked;AUSTRALIA;Calf bitten
18-Jul-2007;Unprovoked;USA;Right calf bitten
18-Jul-2007;Provoked;NORWAY;"PROVOKED INCIDENT           No injury. Diver touched 'dead' shark; shark bit his equipment-covered arm"
17-Jul-2007;Invalid;USA;Foot injured. Shark involvment uncomfirmed
17-Jul-2007;Unprovoked;USA;Lacerations to right thigh & left foot
10-Jul-2007;Unprovoked;BAHAMAS;Lacerations to thumb, ring and pinky fingers of right hand 
05-Jul-2007;Unprovoked;USA;Right foot bitten
04-Jul-2007;Unprovoked;REUNION;Minor injuries to thigh & knee 
Jul-2007;Invalid;SENEGAL;
30-Jun-2007;Provoked;USA;Lacerations to right  hand by hooked shark PROVOKED INCIDENT
30-Jun-2007;Unprovoked;USA;Hand bitten
25-Jun-2007;Unprovoked;USA;6 to 8 puncture wounds to right hand
24-Jun-2007;Unprovoked;USA;No injury, board damaged
17-Jun-2007;Invalid;USA;Superficial injuries to upper leg may have been caused by surfboard fin
12-Jun-2007;Unprovoked;USA;Right foot bitten
05-Jun-2007;Unprovoked;AUSTRALIA;Lacerations to leg & ankle
26-May-2007;Unprovoked;USA;Lacerations to lower leg
24-May-2007;Provoked;USA;Left shin bitten by captive shark PROVOKED INCIDENT
Reported 17-May-2007;Provoked;ENGLAND;Bitten on the nose by a hooked shark PROVOKED INCIDENT
16-May-2007;Unprovoked;AUSTRALIA;Left heel & calf bitten
12-May-2007;Unprovoked;AUSTRALIA;No injury, shark's fin caught his leg
10-May-2007;Unprovoked;USA;Knee bitten
Reported 09-May-2007;Unprovoked;SEYCHELLES;No injury
08-May-2007;Invalid;AUSTRALIA;Shark involvement prior to death unconfirmed
07-May-2007;Unprovoked;USA;Right foot bitten
07-May-2007;Unprovoked;USA;Circular bite on left thigh
04-May-2007;Sea Disaster;TURKS & CAICOS;Some of the bodies recovered had been bitten by sharks
May-2007;Provoked;BAHAMAS;Lacerations to right upper arm by captive shark PROVOKED INCIDENT
26-Apr-2007;Unprovoked;AUSTRALIA;Lower leg & foot injured
22-Apr-2007;Unprovoked;USA;Left foot bitten
20-Apr-2007;Unprovoked;USA;Lacerations to left index finger & thumb 
Reported      13-Apr-2007;Boat;USA;No injury to occupants, shark holed the transom-mounted livewell 
09-Apr-2007;Unprovoked;NEW CALEDONIA;Left foot bitten
01-Apr-2007;Unprovoked;USA;Lacerations & puncture wounds to right calf
31-Mar-2007;Unprovoked;USA;Lacerations to right ankle 
31-Mar-2007;Unprovoked;USA;Minor cuts to right buttock & thigh
22-Mar-2007;Unprovoked;YEMEN;FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks
21-Mar-2007;Unprovoked;USA;Punctures & lacerations to right calf & calf
20-Mar-2007;Unprovoked;AUSTRALIA;Lacerations to 3 fingers of left hand 
Reported 14-Mar-2007;Provoked;USA;Right hand bitten by hooked shark PROVOKED INCIDENT
12-Mar-2007;Unprovoked;AUSTRALIA;Bruises to arm and hand, laceration to lower leg & minor injuries to foot
11-Mar-2007;Unprovoked;USA;Lacerations to right forearm & hand
Reported 05-Mar-2007;Provoked;NEW ZEALAND;Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT
04-Feb-2007;Invalid;COSTA RICA;Death due to drowning. Shark bite may have been postmortem
03-Feb-2007;Unprovoked;AUSTRALIA;Lacerations to  lower left leg & ankle 
Feb-2007;Unprovoked;NEW CALEDONIA;Survived
25-Jan-2007;Unprovoked;NEW CALEDONIA;Leg bitten
25-Jan-2007;Boat;USA;A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later
23-Jan-2007;Unprovoked;AUSTRALIA;Head & torso bitten
19-Jan-2007;Invalid;AUSTRALIA;Shark involvement prior to death unconfirmed
14-Jan-2007;Unprovoked;SOUTH AFRICA;Presumed FATAL, body not recovered
09-Jan-2007;Unprovoked;AUSTRALIA;No injury, shark damaged surfboard
07-Jan-2007;Invalid;USA;No injury
01-Jan-2007;Unprovoked;USA;No injury, shark removed piece of surfboard
18-Dec-2006;Unprovoked;AUSTRALIA;Left leg bitten
11-Dec-2006;Unprovoked;NEW ZEALAND;Foot bitten
10-Dec-2006;Unprovoked;USA;Minor injuries, surfboard bitten
06-Dec-2006;Provoked;SOUTH AFRICA;Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT
02-Dec-2006;Unprovoked;AUSTRALIA;Right leg severed, left leg lacerated
25-Nov-2006;Sea Disaster;PHILIPPINES;15 perished but shark involvement prior to death was not confirmed
11-Nov-2006;Unprovoked;USA;Laceration to left thigh & left hand
09-Nov-2006;Provoked;SOUTH AFRICA;Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT
31-Oct-2006;Unprovoked;USA;No injury, surfboard bitten
16-Oct-2006;Unprovoked;USA;Lower right leg and foot bitten
10-Oct-2006;Unprovoked;USA;Left ankle bitten
07-Oct-2006;Unprovoked;USA;Lacerations to lower left leg
05-Oct-2006;Unprovoked;USA;Lacerations to foot
Oct-2006;Unprovoked;BAHAMAS;Puncture wounds to left foot
Oct-2006;Unprovoked;GULF OF ADEN;FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks
30-Sep-2006;Invalid;SOUTH AFRICA;"No injury; 4m white shark made a threat display"
29-Sep-2006;Unprovoked;USA;Big toe bitten
Reported 18-Sep-2006;Provoked;USA;Lacerations to upper lip    PROVOKED INCIDENT
16-Sep-2006;Unprovoked;USA;Laceration to left thigh
14-Sep-2006;Unprovoked;USA;Minor injury to left hand
11-Sep-2006;Unprovoked;USA;Left torso grazed
04-Sep-2006;Invalid;AUSTRALIA;Killed by a stingray, not a shark - a tragedy for his family and marine wildlife
03-Sep-2006;Unprovoked;BRAZIL;FATAL
03-Sep-2006;Unprovoked;USA;Puncture wounds and cuts to right thigh
02-Sep-2006;Unprovoked;USA;Arm bitten
02-Sep-2006;Unprovoked;SOUTH AFRICA;No injury, shark rammed surfboard
29-Aug-2006;Unprovoked;USA;Laceration & puncture wounds to foot
29-Aug-2006;Unprovoked;AUSTRALIA;No injury, shark towed  surfer & board
27-Aug-2006;Unprovoked;REUNION;Laceration to right calf & heel
22-Aug-2006;Invalid;BRAZIL;Shark bites may have been post mortem
22-Aug-2006;Invalid;BELIZE;Shark involvement prior to death not confirmed
20-Aug-2006;Sea Disaster;ITALY;FATAL
20-Aug-2006;Unprovoked;REUNION;FATAL
15-Aug-2006;Unprovoked;SOUTH AFRICA;No injury, surfboard leash severed
13-Aug-2006;Unprovoked;SOUTH AFRICA;Foot severed
Aug-2006;Unprovoked;USA;Lacerations & punctures to left foot
Early Aug-2006;Unprovoked;REUNION;Thigh bitten
31-Jul-2006;Provoked;USA;Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS
31-Jul-2006;Unprovoked;USA;Minor injury
29-Jul-2006;Invalid;USA;Bruises, laceration to head, spinal cord injury & neck broken at C5/C6 
29-Jul-2006;Unprovoked;USA;Foot bitten
28-Jul-2006;Unprovoked;SOUTH AFRICA;No injury, surf ski bitten
25-Jul-2006;Unprovoked;USA;Minor lacerations to right foot
23-Jul-2006;Unprovoked;USA;Right foot bitten
Reported 17-Jul-2006;Invalid;AUSTRALIA;8 shark-bitten bodies washed ashore
17-Jul-2006;Unprovoked;USA;Left ankle & foot bitten
13-Jul-2006;Invalid;SPAIN;Hand & wrist severely bitten
12-Jul-2006;Unprovoked;USA;Ankle & foot bitten
10-Jul-2006;Unprovoked;BRAZIL;FATAL
09-Jul-2006;Unprovoked;USA;Dorsum of left foot bitten
09-Jul-2006.;Unprovoked;USA;Lower leg & ankle bitten
08-Jul-2006;Unprovoked;USA;Foot bitten
08-Jul-2006;Unprovoked;USA;Right calf bitten
July 2006;Unprovoked;USA;Lacerations & puncture wound  to arm
July 2006;Unprovoked;USA;Minor injuries
27-Jun-2006;Unprovoked;USA;Right calf bitten
26-Jun-2006;Provoked;USA;Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT
24-Jun-2006;Unprovoked;BAHAMAS;Right arm severely bitten
20-Jun-2006;Unprovoked;USA;2-inch puncture wounds on right foot
18-Jun-2006;Unprovoked;BRAZIL;Left thigh bitten FATAL
17-Jun-2006;Unprovoked;USA;No injury, shark bit scuba tank boot
15-Jun-2006;Unprovoked;USA;Four 1-inch puncture wounds on left foot 
07-Jun-2006;Unprovoked;USA;Lacerations & puncture wounds to left foot & buttocks
05-Jun-2006;Unprovoked;AUSTRALIA;No injury, knocked off surfboard
31-May-2006;Unprovoked;USA;"4"" laceration to left forearm"
28-May-2006;Provoked;USA;No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT
27-May-2006;Unprovoked;USA;No injury, shark bumped surfboard
24-May-2006;Provoked;USA;Knee bitten after diver poked shark PROVOKED INCIDENT
21-May-2006;Unprovoked;BRAZIL;Injuries to left thigh, calf & foot
19-May-2006;Unprovoked;USA;Laceration to leg
05-May-2006;Unprovoked;USA;Small lacerations to arm
04-May-2006;Unprovoked;USA;2 lacerations on lower right leg
02-May-2006;Provoked;AUSTRALIA;Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT
Reported      23-Apr-2006;Invalid;USA;Shark bites post mortem
21-Apr-2006;Unprovoked;USA;Feet bitten
19-Apr-2006;Unprovoked;USA;3 tiny punctures & small lacerations on right ankle
13-Apr-2006;Provoked;USA;3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT
11-Apr-2006;Unprovoked;AUSTRALIA;Minor laceration to left foot
09-Apr-2006;Unprovoked;SOUTH AFRICA;Leg bitten
09-Apr-2006;Unprovoked;BRAZIL;Left leg bitten
03-Apr-2006;Unprovoked;USA;Minor injury to right hand & thigh
Reported  28-Mar-2006;Unprovoked;Sierra Leone;Reportedly FATAL but few details
23-Mar-2006;Unprovoked;USA;5 puncture wounds in left calf
22-Mar-2006;Invalid;SOUTH AFRICA;FATAL, but shark involvement prior to death unconfirmed
18-Mar-2006;Unprovoked;FIJI;Lacerations to right hand
15-Mar-2006;Unprovoked;AUSTRALIA;No injury, shark nudged surfboard
27-Feb-2006;Unprovoked;USA;Deep laceration to right calf
23-Feb-2006;Invalid;USA;Forensic examination suggested diver drowned & afterwards his body was bitten by a shark/s
13-Feb-2006;Unprovoked;AUSTRALIA;Lacerations to foot
12-Feb-2006;Unprovoked;AUSTRALIA;Puncture wound on arm
12-Feb-2006;Boating;AUSTRALIA;"No injury to occupants; shark nudged the 5.3 m boat"
08-Feb-2006;Unprovoked;SOUTH AFRICA;2 bite marks on right calf
01-Feb-2006;Unprovoked;TONGA;Severe bite to right leg FATAL
01-Feb-2006;Boating;USA;"No injury to occupant; shark bumped the kayak repeatedly for 15 minutes"
Reported 28-Jan-2006;Boating;ATLANTIC OCEAN;"No injury to occupants; shark rammed boat repeatedly"
25-Jan-2006;Unprovoked;SOUTH AFRICA;Right arm  bitten
23-Jan-2006;Boating;ATLANTIC OCEAN;"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom"
18-Jan-2006;Unprovoked;USA;No injury, but 2 small nicks on wetsuit
15-Jan-2006;Unprovoked;AUSTRALIA;Lacerations to left elbow
11-Jan-2006;Invalid;BAHAMAS;No injury, divers felt threatened by 10' pregnant female tiger shark & killed the shark
07-Jan-2006;Unprovoked;AUSTRALIA;FATAL
04-Jan-2006;Unprovoked;USA;3 puncture wounds in right wrist & hand
01-Jan-2006;Unprovoked;SOUTH AFRICA;Lacerations to little finger
24-Dec-2005;Unprovoked;USA;Lacerations to ankle & calf
21-Dec-2005;Unprovoked;USA;Left hand bitten
20-Dec-2005;Boating;ATLANTIC OCEAN;No injury to occupants, shark rammed boat for 15 minutes
11-Dec-2005;Unprovoked;AUSTRALIA;Right forearm & elbow bitten
Reported 06-Dec-2005;Boat;AUSTRALIA;No injury to occupants, hydrofoil of outboard motor bitten 
Reported 29-Nov-2005;Unprovoked;USA;Left foot bitten
27-Nov-2005;Unprovoked;USA;Right thumb & palm lacerated
25-Nov-2005;Boat;AUSTRALIA;No injury to occupant, shark bit outboard motor
25-Nov-2005;Unprovoked;AUSTRALIA;"2 lacerations on leg, each 4"" to 5"" long"
25-Nov-2005;Unprovoked;SOUTH AFRICA;Cut on finger, board bitten
24-Nov-2005-;Unprovoked;NEW CALEDONIA;Arm bitten
21-Nov-2005;Unprovoked;USA;Left foot bitten
20-Nov-2005;Unprovoked;USA;Lacerations to right thigh
Reported  16-Nov-2005;Boat;NEW CALEDONIA;No injury to occupants, shark lifted bow of boat 3 times
15-Nov-2005;Provoked;SOUTH AFRICA;Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT
12-Nov-2005;Unprovoked;USA;Puncture wounds to right foot
02-Nov-2005;Unprovoked;USA;No injury, board bitten
02-Nov-2005;Unprovoked;USA;No injury, board bumped
29-Oct-2005;Unprovoked;USA;Puncture wounds to foot
25-Oct-2005;Unprovoked;ST. MAARTIN;Lower right leg lacerated
22-Oct-2005;Unprovoked;SOUTH AFRICA;Right foot bitten
21-Oct-2005;Unprovoked;USA;No injury
19-Oct-2005;Unprovoked;USA;Leg bitten
15-Oct-2005;Provoked;USA;Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT
13-Oct-2005;Unprovoked;USA;No injury, surfboard bitten
11-Oct-2005;Unprovoked;GRAND CAYMAN;No injury 
06-Oct-2005;Unprovoked;USA;Five 1-inch lacerations to left foot
03-Oct-2005;Unprovoked;BAHAMAS;Lacerations to right side of face
01-Oct-2005;Unprovoked;SOUTH AFRICA;No injury, shark bit ski
Reported      27-Sep-2005;Unprovoked;AUSTRALIA;No injury, knocked off board
24-Sep-2005;Unprovoked;AUSTRALIA;Lacerations to legs
23-Sep-2005;Unprovoked;AUSTRALIA; No injury
22-Sep-2005;Invalid;USA;Lacerations to dorsum of left foot
20-Sep-2005;Unprovoked;USA;Injuries to fingers, calf  & heel
11-Sep-2005;Unprovoked;USA;FATAL
07-Sep-2005;Unprovoked;AUSTRALIA;Left foot & ankle lacerated
05-Sep-2005;Unprovoked;USA;Calf severely lacerated
04-Sep-2005;Unprovoked;AUSTRALIA;Lacerations to right arm & thigh
02-Sep-2005;Unprovoked;USA;Right foot bitten
02-Sep-2005;Provoked;THAILAND;FATAL PROVOKED INCIDENT
24-Aug-2005;Unprovoked;AUSTRALIA;FATAL
24-Aug-2005;Unprovoked;USA;Lower right leg lacerated
22-Aug-2005;Invalid;USA;Laceration to knee, possibly by a  small blacktip shark
21-Aug-2005;Unprovoked;USA;Bitten underneath left arm
19-Aug-2005;Unprovoked;USA;Left foot bitten
14-Aug-2005;Invalid;SOUTH AFRICA;Human foot recovered from the water
12-Aug-2005;Unprovoked;USA;Laceration on right wrist & crescent of puncture wounds on  forearm 
6-Aug-2005;Unprovoked;USA;Puncture wounds on left foot 
1-Aug-2005;Invalid;Seychelles;FATAL, shark involvement prior to death is unconfirmed
27-Jul-2005;Unprovoked;USA;Laceration on the back of left hand & toothmarks on wrist
23-Jul-2005;Unprovoked;USA;Right foot: Toes and back of foot, minor injury
22-Jul-2005;Invalid;USA;"Straight 2.5"" laceration on top of left ankle"
17-Jul-2005;Invalid;LIBERIA;Presumed to have drowned until his body washed ashore 2 weeks later with shark bites
17-Jul-2005;Provoked;CHINA;2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT
Reported      15-Jul-2005;Invalid;AUSTRALIA;"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat"
15-Jul-2005;Unprovoked;USA;Lacerations of left forearm
13-Jul-2005;Unprovoked;USA;Left foot bitten
1-Jul-2005;Unprovoked;USA;Ankle bitten
27-Jun-2005;Unprovoked;USA;Leg severely bitten, surgically amputated
25-Jun-2005;Unprovoked;USA;FATAL, leg bitten
22-Jun-2005;Unprovoked;VANUATU;FATAL
20-Jun-2005;Unprovoked;MEXICO ;Left foot bitten
18-Jun-2005;Invalid;USA;No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist
16-Jun-2005;Unprovoked;USA;Foot bitten
13-Jun-2005;Unprovoked;SOUTH KOREA;Knee bitten
07-Jun-2005;Unprovoked;USA;Foot lacerated
05-Jun-2005;Invalid;USA;Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.
04-Jun-2005;Unprovoked;SOUTH AFRICA;FATAL
02-Jun-2005;Unprovoked;USA;Two 2-inch lacerations on right foot
28-May-2005;Unprovoked;USA;Left foot bitten
27-May-2005;Unprovoked;USA;Right arm & torso bitten
25-May-2005;Unprovoked;SOUTH AFRICA;Left buttock  & legs lacerated 
